job_id,title,seniority,company,industry,location,posted_date,listing_age_days,salary_missing,repost_count,role_recycling_score,hiring_velocity,open_close_ratio,listing_longevity_ratio,closure_ratio,engagement_latency,status,is_ghost,source,listing_age_days,listing_longevity_ratio,salary_missing,repost_count,role_recycling_score,hiring_velocity,open_close_ratio
64CF3A32,HR Generalist,Senior,Helix Global,Finance,"Chicago, IL",28-11-2025,92,0,11,0.9137,4.33,13.0,3.0667,0.0769,23,closed,1,synthetic,92,3.0667,0,11,0.9137,4.33,13.0
0F6E6451,Data Engineer,Junior,Jade Ventures,Retail,"San Francisco, CA",14-02-2026,14,0,1,0.0007,0.75,0.45,0.4667,1.0,1,open,0,synthetic,14,0.4667,0,1,0.0007,0.75,0.45
4F200B19,Site Reliability Engineer,Intern,Zenith Studio,Consulting,"Dallas, TX",02-02-2026,26,1,0,0.0083,1.33,0.6667,0.8667,1.0,2,closed,0,synthetic,26,0.8667,1,0,0.0083,1.33,0.6667
FAFDF785,Data Analyst,Senior,Axiom Works,Logistics,"Atlanta, GA",01-03-2025,364,0,4,0.9513,1.25,7.5,12.1333,0.1333,36,open,1,synthetic,364,12.1333,0,4,0.9513,1.25,7.5
0A78D4AC,ML Engineer,Intern,Ionic Analytics,Manufacturing,"Atlanta, GA",09-08-2025,203,1,7,0.6635,2.5,7.5,6.7667,0.1333,27,open,1,synthetic,203,6.7667,1,7,0.6635,2.5,7.5
F35A9EB9,Sales Executive,Junior,Drift Networks,Healthcare,"Austin, TX",13-02-2026,15,0,1,0.0359,0.25,0.2727,0.5,1.0,9,open,0,synthetic,15,0.5,0,1,0.0359,0.25,0.2727
050D76BB,Backend Developer,Intern,Quark Systems,Education,"Toronto, CA",27-01-2026,32,0,0,0.01,0.92,0.6471,1.0667,1.0,1,open,0,synthetic,32,1.0667,0,0,0.01,0.92,0.6471
723AF0AF,Frontend Developer,Mid-level,Echo Analytics,Media,"New York, NY",02-02-2026,26,0,0,0.0717,1.33,0.7273,0.8667,1.0,3,closed,0,synthetic,26,0.8667,0,0,0.0717,1.33,0.7273
771EFE29,Sales Executive,Intern,Echo Innovations,Education,"Seattle, WA",20-08-2025,192,1,5,0.7751,1.5,18.0,6.4,0.0556,13,open,1,synthetic,192,6.4,1,5,0.7751,1.5,18.0
C349F477,Site Reliability Engineer,Director,Vertex Partners,Logistics,"Miami, FL",10-02-2026,18,1,1,0.0917,1.42,0.9444,0.6,1.0,1,closed,0,synthetic,18,0.6,1,1,0.0917,1.42,0.9444
58F70E2A,UX Designer,Senior,Grid Systems,Retail,"London, UK",22-07-2025,221,1,5,0.9226,2.67,64.0,7.3667,0.0,11,open,1,synthetic,221,7.3667,1,5,0.9226,2.67,64.0
8D3A881E,Security Engineer,Mid-level,Cipher Intelligence,Education,"Toronto, CA",30-08-2025,182,1,12,0.8312,3.08,18.5,6.0667,0.163876051,36,open,1,synthetic,182,6.0667,1,12,0.8312,3.08,18.5
648788EC,Data Analyst,Junior,Monolith Ventures,Education,"Toronto, CA",30-01-2026,29,0,0,0.0224,0.25,0.1304,0.9667,1.0,7,closed,0,synthetic,29,0.9667,0,0,0.0224,0.25,0.1304
30D4228B,Financial Analyst,Principal,Apex Group,Retail,"Denver, CO",05-11-2025,115,1,10,0.8065,4.25,102.0,3.8333,0.0,40,open,1,synthetic,115,3.8333,1,10,0.8065,4.25,102.0
A5201F4C,Scrum Master,Senior,Luminary Systems,Consulting,"Toronto, CA",17-02-2026,11,0,1,0.2471,0.25,0.1875,0.3667,1.0,10,open,0,synthetic,11,0.3667,0,1,0.2471,0.25,0.1875
38EBB067,Marketing Manager,Director,Axiom Studio,Technology,"Atlanta, GA",16-01-2026,57,0,1,0.222174748,0.5,1.0,1.9,1.0,7,closed,0,synthetic,57,1.9,0,1,0.222174748,0.5,1.0
EE68FECC,Site Reliability Engineer,Junior,Lynx Intelligence,Retail,"New York, NY",15-02-2026,13,0,1,0.114,0.67,0.3478,0.4333,1.0,3,open,0,synthetic,13,0.4333,0,1,0.114,0.67,0.3478
28EF1DBB,UX Designer,Principal,Pulse Studio,Consulting,"Seattle, WA",26-02-2026,2,0,1,0.3232,1.0,0.6316,0.0667,1.0,1,closed,0,synthetic,2,0.0667,0,1,0.3232,1.0,0.6316
77D13F19,Full Stack Developer,Junior,Catalyst Platforms,Media,"Denver, CO",14-01-2026,45,0,1,0.1533,1.42,1.0,1.5,1.0,3,open,0,synthetic,45,1.5,0,1,0.1533,1.42,1.0
2A073A76,Site Reliability Engineer,Principal,Lynx Intelligence,Retail,"Denver, CO",16-01-2026,43,0,0,0.0156,0.33,0.16,1.4333,1.0,4,open,0,synthetic,43,1.4333,0,0,0.0156,0.33,0.16
A210ADCA,Technical Lead,Lead,Cascade Innovations,Technology,"Los Angeles, CA",15-01-2026,44,0,1,0.3338,1.33,1.6,1.4667,0.625,7,open,0,synthetic,44,1.4667,0,1,0.3338,1.33,1.6
60EA6F01,ML Engineer,Principal,Flux Innovations,Consulting,"Boston, MA",08-02-2026,20,0,1,0.074,1.17,1.75,0.6667,0.5714,6,open,0,synthetic,20,0.6667,0,1,0.074,1.17,1.75
13DEB8B3,Data Engineer,Lead,Arch Dynamics,Healthcare,"Chicago, IL",30-01-2026,29,0,0,0.0327,0.33,0.2667,0.9667,1.0,5,closed,0,synthetic,29,0.9667,0,0,0.0327,0.33,0.2667
CE3DC007,Scrum Master,Lead,Ionic Consulting,Finance,"Phoenix, AZ",13-07-2025,230,1,5,0.8386,4.67,56.0,7.6667,0.0179,41,open,1,synthetic,230,7.6667,1,5,0.8386,4.67,56.0
5FB7FEA6,Backend Developer,Senior,Meridian Analytics,Media,"New York, NY",29-01-2026,30,0,0,0.3406,0.75,0.5,1.0,1.0,4,open,0,synthetic,30,1.0,0,0,0.3406,0.75,0.5
5E2FDF48,Security Engineer,Lead,Neon Digital,Consulting,"Boston, MA",21-02-2026,24,0,3,0.528779217,1.5,1.2857,0.8,0.7778,2,open,0,synthetic,24,0.8,0,3,0.528779217,1.5,1.2857
FFFA32FA,DevOps Engineer,Intern,Echo Innovations,Education,"Chicago, IL",30-05-2025,274,1,12,0.8579,1.33,16.0,9.1333,0.0625,38,open,1,synthetic,274,9.1333,1,12,0.8579,1.33,16.0
768891FB,Backend Developer,Intern,Titan Partners,Technology,Remote,12-02-2026,16,1,0,0.1186,0.5,0.375,0.5333,1.0,4,closed,0,synthetic,16,0.5333,1,0,0.1186,0.5,0.375
D5197CB0,Frontend Developer,Senior,Monolith Partners,Manufacturing,"Denver, CO",27-02-2026,1,0,1,0.001,0.5,0.5,0.0333,1.0,4,closed,0,synthetic,1,0.0333,0,1,0.001,0.5,0.5
1F8FD775,Marketing Manager,Director,Axiom Studio,Technology,"Toronto, CA",12-12-2025,78,0,5,0.8119,2.0,8.0,2.6,0.125,36,closed,1,synthetic,78,2.6,0,5,0.8119,2.0,8.0
AF384089,Full Stack Developer,Principal,Quantum Solutions,Finance,"Chicago, IL",17-02-2026,22,0,3,0.534041031,1.58,2.7143,0.7333,0.3684,4,open,0,synthetic,22,0.7333,0,3,0.534041031,1.58,2.7143
B772C9D4,Scrum Master,Mid-level,Grid Systems,Retail,"Atlanta, GA",27-06-2025,246,0,5,0.6532,4.75,14.25,8.2,0.0702,39,open,1,synthetic,246,8.2,0,5,0.6532,4.75,14.25
0F90BD07,Technical Lead,Senior,Axiom Labs,Logistics,"Seattle, WA",12-09-2025,169,1,12,0.9485,4.92,19.6667,5.6333,0.0508,38,open,1,synthetic,169,5.6333,1,12,0.9485,4.92,19.6667
B3C62D58,Product Manager,Junior,Monolith Studio,Retail,"Dallas, TX",15-12-2025,75,1,4,0.7693,4.0,48.0,2.5,0.0208,33,open,1,synthetic,75,2.5,1,4,0.7693,4.0,48.0
C07AEEBB,Operations Manager,Junior,Ionic Partners,Retail,Remote,01-08-2025,211,1,10,0.7841,4.17,16.6667,7.0333,0.06,36,open,1,synthetic,211,7.0333,1,10,0.7841,4.17,16.6667
4A503CED,Product Manager,Senior,Catalyst Platforms,Media,"Dallas, TX",23-02-2026,5,0,0,0.047,1.42,0.8947,0.1667,1.0,10,closed,0,synthetic,5,0.1667,0,0,0.047,1.42,0.8947
4DADA522,Data Scientist,Mid-level,Zenith Studio,Consulting,"Los Angeles, CA",15-01-2026,44,0,0,0.3394,0.92,0.9167,1.4667,1.0,6,open,0,synthetic,44,1.4667,0,0,0.3394,0.92,0.9167
3ED67D7F,Site Reliability Engineer,Junior,Catalyst Studio,Logistics,"San Francisco, CA",24-02-2026,22,1,3,0.428961386,0.5,0.24,0.7333,1.0,2,closed,0,synthetic,22,0.7333,1,3,0.428961386,0.5,0.24
E18020F0,Data Engineer,Principal,Quark Systems,Education,"Los Angeles, CA",23-01-2026,36,0,1,0.3442,1.17,1.4,1.2,0.7143,9,closed,0,synthetic,36,1.2,0,1,0.3442,1.17,1.4
DA196632,Operations Manager,Lead,Forge Global,Logistics,"Atlanta, GA",14-05-2025,290,0,3,0.9117,2.42,29.0,9.6667,0.166082035,28,open,1,synthetic,290,9.6667,0,3,0.9117,2.42,29.0
EA4F4664,ML Engineer,Lead,Pulse Dynamics,Technology,"Berlin, DE",28-01-2026,31,0,1,0.0932,1.67,2.8571,1.0333,0.35,3,open,0,synthetic,31,1.0333,0,1,0.0932,1.67,2.8571
85AB2BAE,Cloud Architect,Principal,Cascade Works,Logistics,"New York, NY",23-09-2025,158,1,8,0.8694,1.67,40.0,5.2667,0.0,23,open,1,synthetic,158,5.2667,1,8,0.8694,1.67,40.0
C809F74A,Frontend Developer,Mid-level,Cipher Intelligence,Education,"San Francisco, CA",22-02-2026,36,0,1,0.403346307,1.0,0.6,1.2,1.0,1,closed,0,synthetic,36,1.2,0,1,0.403346307,1.0,0.6
C5701C39,Security Engineer,Director,Prism Innovations,Retail,"Los Angeles, CA",14-05-2025,290,1,12,0.9353,3.08,74.0,9.6667,0.0,45,open,1,synthetic,290,9.6667,1,12,0.9353,3.08,74.0
B0B7ACA0,Backend Developer,Director,Catalyst Platforms,Media,"Boston, MA",03-02-2026,25,1,0,0.0319,1.58,0.7917,0.8333,1.0,10,closed,0,synthetic,25,0.8333,1,0,0.0319,1.58,0.7917
25B5EE74,Full Stack Developer,Intern,Vector Global,Technology,"Austin, TX",31-01-2026,28,0,1,0.307,0.17,0.4,0.9333,1.0,10,closed,0,synthetic,28,0.9333,0,1,0.307,0.17,0.4
95D2CFA7,ML Engineer,Lead,Jade Innovations,Technology,"Dallas, TX",26-04-2025,308,1,8,0.6557,4.83,112.0,10.2667,0.0,20,open,1,synthetic,308,10.2667,1,8,0.6557,4.83,112.0
F5D574BB,UX Designer,Lead,Meridian Capital,Retail,"Toronto, CA",26-09-2025,155,1,9,0.9906,3.5,84.0,5.1667,0.0,24,open,1,synthetic,155,5.1667,1,9,0.9906,3.5,84.0
E84D3F10,Full Stack Developer,Senior,Arch Group,Manufacturing,"Boston, MA",15-12-2025,75,1,4,0.7488,1.83,11.0,2.5,0.0909,32,open,1,synthetic,75,2.5,1,4,0.7488,1.83,11.0
F9BACBAA,Platform Engineer,Lead,Cipher Intelligence,Education,"Los Angeles, CA",29-08-2025,183,0,11,0.9005,1.58,38.0,6.1,0.0,28,open,1,synthetic,183,6.1,0,11,0.9005,1.58,38.0
E1214C52,Platform Engineer,Senior,Vertex Partners,Logistics,"Berlin, DE",30-01-2026,29,1,0,0.1815,0.58,0.4375,0.9667,1.0,1,closed,0,synthetic,29,0.9667,1,0,0.1815,0.58,0.4375
502E5323,HR Generalist,Senior,Apex Digital,Media,"New York, NY",24-02-2026,4,0,1,0.1155,0.5,0.4615,0.1333,1.0,7,open,0,synthetic,4,0.1333,0,1,0.1155,0.5,0.4615
200B415E,Backend Developer,Senior,Flux Studio,Finance,"Denver, CO",13-02-2026,15,0,1,0.2176,1.17,2.3333,0.5,0.4286,5,closed,0,synthetic,15,0.5,0,1,0.2176,1.17,2.3333
15F8590D,Platform Engineer,Junior,Kore Innovations,Consulting,"Miami, FL",25-01-2026,34,1,1,0.2648,0.92,1.1,1.1333,0.9091,3,open,0,synthetic,34,1.1333,1,1,0.2648,0.92,1.1
F3B8B7E5,Security Engineer,Junior,Prism Platforms,Retail,Remote,26-02-2026,2,0,1,0.0797,0.58,0.5,0.0667,1.0,8,closed,0,synthetic,2,0.0667,0,1,0.0797,0.58,0.5
12113838,Product Manager,Lead,Vertex Partners,Logistics,"Miami, FL",23-02-2026,5,0,1,0.177,1.58,0.95,0.1667,1.0,3,closed,0,synthetic,5,0.1667,0,1,0.177,1.58,0.95
053C40EB,Data Scientist,Junior,Helix Works,Consulting,"Miami, FL",23-01-2026,54,0,2,0.420364944,1.67,1.8182,1.8,0.55,2,closed,0,synthetic,54,1.8,0,2,0.420364944,1.67,1.8182
A1B55DFF,Sales Executive,Lead,Zenith Dynamics,Healthcare,"San Francisco, CA",27-02-2026,1,0,0,0.0258,1.17,0.6087,0.0333,1.0,7,closed,0,synthetic,1,0.0333,0,0,0.0258,1.17,0.6087
ADEB86D4,Site Reliability Engineer,Mid-level,Pinnacle Studio,Consulting,"Chicago, IL",27-03-2025,338,1,8,0.9822,3.33,20.0,11.2667,0.05,39,open,1,synthetic,338,11.2667,1,8,0.9822,3.33,20.0
7CDFBCE8,Business Analyst,Director,Jade Ventures,Retail,"Seattle, WA",25-02-2026,3,0,1,0.2206,1.0,1.2,0.1,0.8333,2,closed,0,synthetic,3,0.1,0,1,0.2206,1.0,1.2
42454603,Software Engineer,Principal,Axiom Labs,Logistics,"Boston, MA",03-11-2025,117,0,12,0.7414,4.33,52.0,3.9,0.0192,25,open,1,synthetic,117,3.9,0,12,0.7414,4.33,52.0
6D30D2DA,Software Engineer,Mid-level,Flux Innovations,Consulting,"Austin, TX",24-01-2026,35,0,0,0.2058,1.08,1.1818,1.1667,0.8462,7,open,0,synthetic,35,1.1667,0,0,0.2058,1.08,1.1818
2C873816,Data Engineer,Principal,Quark Solutions,Media,"Los Angeles, CA",28-02-2025,365,0,3,0.674,3.0,36.0,12.1667,0.0278,45,open,1,synthetic,365,12.1667,0,3,0.674,3.0,36.0
CC51023A,UX Designer,Principal,Vertex Partners,Logistics,"Atlanta, GA",06-02-2026,22,0,0,0.1322,1.08,0.619,0.7333,1.0,2,open,0,synthetic,22,0.7333,0,0,0.1322,1.08,0.619
DA266D7C,Frontend Developer,Director,Meridian Analytics,Media,"New York, NY",15-02-2026,13,0,0,0.0753,1.33,1.7778,0.4333,0.5625,10,open,0,synthetic,13,0.4333,0,0,0.0753,1.33,1.7778
D198D08B,Operations Manager,Junior,Vector Global,Technology,"San Francisco, CA",24-01-2026,35,0,1,0.1603,1.33,1.6,1.1667,0.625,5,open,0,synthetic,35,1.1667,0,1,0.1603,1.33,1.6
2FA9BA01,ML Engineer,Principal,Helix Works,Consulting,"San Francisco, CA",17-12-2025,73,1,10,0.8541,2.58,10.3333,2.4333,0.0968,22,open,1,synthetic,73,2.4333,1,10,0.8541,2.58,10.3333
DB1A4C07,Product Manager,Intern,Axiom Studio,Technology,"Chicago, IL",11-02-2026,44,0,1,0.513218898,1.25,0.75,1.4667,1.0,1,closed,0,synthetic,44,1.4667,0,1,0.513218898,1.25,0.75
D4619730,Product Manager,Mid-level,Flux Innovations,Consulting,"Toronto, CA",10-02-2026,18,0,1,0.1527,1.17,2.3333,0.6,0.4286,10,closed,0,synthetic,18,0.6,0,1,0.1527,1.17,2.3333
82DDC770,Software Engineer,Junior,Meridian Analytics,Media,"Austin, TX",15-02-2026,13,0,1,0.1311,0.33,0.25,0.4333,1.0,4,closed,0,synthetic,13,0.4333,0,1,0.1311,0.33,0.25
30D8309E,DevOps Engineer,Senior,Meridian Capital,Retail,"Phoenix, AZ",10-12-2025,80,1,10,0.6894,4.92,15.0,2.6667,0.0667,19,open,1,synthetic,80,2.6667,1,10,0.6894,4.92,15.0
A1DFB799,Full Stack Developer,Senior,Monolith Analytics,Media,"Dallas, TX",23-07-2025,220,0,9,0.7579,4.08,24.5,7.3333,0.0408,26,open,1,synthetic,220,7.3333,0,9,0.7579,4.08,24.5
9160D877,Frontend Developer,Mid-level,Cipher Intelligence,Education,"Toronto, CA",06-04-2025,328,0,9,0.8108,1.58,19.0,10.9333,0.0526,18,open,1,synthetic,328,10.9333,0,9,0.8108,1.58,19.0
18D71C62,Site Reliability Engineer,Mid-level,Axiom Studio,Technology,"Toronto, CA",31-10-2025,120,0,9,0.9129,4.17,16.6667,4.0,0.06,35,open,1,synthetic,120,4.0,0,9,0.9129,4.17,16.6667
34954D7E,Frontend Developer,Senior,Nexus Dynamics,Media,"Los Angeles, CA",25-03-2025,340,0,6,0.9388,3.5,42.0,11.3333,0.114252059,28,open,1,synthetic,340,11.3333,0,6,0.9388,3.5,42.0
DCDCF373,Data Scientist,Director,Prism Labs,Manufacturing,"Atlanta, GA",01-02-2026,27,0,0,0.2752,0.5,0.3,0.9,1.0,7,open,0,synthetic,27,0.9,0,0,0.2752,0.5,0.3
B2014681,Business Analyst,Director,Prism Dynamics,Technology,"New York, NY",18-01-2026,41,0,0,0.0537,1.33,1.6,1.3667,0.625,5,open,0,synthetic,41,1.3667,0,0,0.0537,1.33,1.6
21FD333C,Data Scientist,Intern,Quantum Solutions,Finance,"London, UK",02-12-2025,88,1,8,0.6889,4.08,24.5,2.9333,0.098198876,18,open,1,synthetic,88,2.9333,1,8,0.6889,4.08,24.5
6B4430C6,Product Manager,Intern,Ionic Platforms,Education,"Phoenix, AZ",19-10-2025,132,0,8,0.7719,3.0,12.0,4.4,0.0833,16,open,1,synthetic,132,4.4,0,8,0.7719,3.0,12.0
17A8F7D2,Technical Lead,Intern,Monolith Consulting,Finance,"Berlin, DE",25-01-2026,52,0,3,0.368519871,0.75,0.4286,1.7333,1.0,6,closed,0,synthetic,52,1.7333,0,3,0.368519871,0.75,0.4286
4D8B50D9,UX Designer,Principal,Ridge Studio,Media,"Seattle, WA",21-01-2026,38,0,1,0.0596,0.25,0.3333,1.2667,1.0,6,closed,0,synthetic,38,1.2667,0,1,0.0596,0.25,0.3333
30AB4B50,QA Engineer,Mid-level,Helix Global,Finance,"Phoenix, AZ",23-03-2025,342,0,6,0.7672,2.67,16.0,11.4,0.176117837,15,open,1,synthetic,342,11.4,0,6,0.7672,2.67,16.0
C1FD4C4F,Full Stack Developer,Mid-level,Pulse Studio,Consulting,"Los Angeles, CA",31-01-2026,28,0,0,0.0078,0.67,1.6,0.9333,0.625,7,closed,0,synthetic,28,0.9333,0,0,0.0078,0.67,1.6
BD1B1A1D,ML Engineer,Junior,Echo Innovations,Education,Remote,03-11-2025,117,1,12,0.8238,3.92,94.0,3.9,0.0,15,open,1,synthetic,117,3.9,1,12,0.8238,3.92,94.0
E9BD692D,Sales Executive,Intern,Pulse Technologies,Media,"Austin, TX",25-02-2026,19,1,1,0.58045842,0.92,0.7333,0.6333,1.0,10,open,0,synthetic,19,0.6333,1,1,0.58045842,0.92,0.7333
B0C379D5,Marketing Manager,Senior,Catalyst Studio,Logistics,"Phoenix, AZ",07-06-2025,266,1,4,0.6924,2.42,58.0,8.8667,0.0,44,closed,1,synthetic,266,8.8667,1,4,0.6924,2.42,58.0
A87FB94F,Business Analyst,Junior,Opus Technologies,Media,"Boston, MA",02-02-2026,26,0,1,0.3234,1.33,1.1429,0.8667,0.875,3,open,0,synthetic,26,0.8667,0,1,0.3234,1.33,1.1429
C7A7850E,Platform Engineer,Mid-level,Jade Innovations,Technology,"Dallas, TX",03-12-2025,87,1,10,0.8747,2.17,6.5,2.9,0.240636106,19,open,1,synthetic,87,2.9,1,10,0.8747,2.17,6.5
93DBDA02,Full Stack Developer,Intern,Apex Group,Retail,"Miami, FL",16-10-2025,135,1,9,0.961,3.42,82.0,4.5,0.0,40,open,1,synthetic,135,4.5,1,9,0.961,3.42,82.0
E42A8595,Data Engineer,Director,Cascade Innovations,Technology,"Dallas, TX",16-02-2026,12,0,0,0.2642,1.67,2.2222,0.4,0.45,1,closed,0,synthetic,12,0.4,0,0,0.2642,1.67,2.2222
C15E5129,DevOps Engineer,Junior,Monolith Partners,Manufacturing,"Toronto, CA",11-02-2026,17,0,0,0.1124,0.5,0.375,0.5667,1.0,1,closed,0,synthetic,17,0.5667,0,0,0.1124,0.5,0.375
F9E15117,Site Reliability Engineer,Lead,Ionic Consulting,Finance,"Denver, CO",08-02-2026,47,0,2,0.5087279,0.33,0.1739,1.5667,1.0,5,closed,0,synthetic,47,1.5667,0,2,0.5087279,0.33,0.1739
C27F86B6,DevOps Engineer,Intern,Helix Partners,Media,"San Francisco, CA",23-02-2026,5,0,0,0.305,1.58,2.1111,0.1667,0.4737,6,open,0,synthetic,5,0.1667,0,0,0.305,1.58,2.1111
A9417343,Platform Engineer,Lead,Quantum Solutions,Finance,"Atlanta, GA",21-07-2025,222,1,8,0.7174,4.25,17.0,7.4,0.0588,35,open,1,synthetic,222,7.4,1,8,0.7174,4.25,17.0
8A0C1B56,Platform Engineer,Director,Apex Group,Retail,"Chicago, IL",19-10-2025,132,0,3,0.6575,4.92,19.6667,4.4,0.0508,12,open,1,synthetic,132,4.4,0,3,0.6575,4.92,19.6667
C00264A0,HR Generalist,Director,Zenith Studio,Consulting,"Atlanta, GA",23-02-2026,5,0,0,0.138,0.5,0.4,0.1667,1.0,9,open,0,synthetic,5,0.1667,0,0,0.138,0.5,0.4
A19A02A5,Sales Executive,Director,Catalyst Group,Technology,"Boston, MA",21-02-2026,7,0,0,0.1202,1.0,0.6316,0.2333,1.0,4,closed,0,synthetic,7,0.2333,0,0,0.1202,1.0,0.6316
DF5D7A02,Scrum Master,Director,Opus Technologies,Media,"Phoenix, AZ",19-02-2026,9,0,0,0.1447,1.0,1.7143,0.3,0.5833,2,closed,0,synthetic,9,0.3,0,0,0.1447,1.0,1.7143
1DA36E90,ML Engineer,Junior,Kore Innovations,Consulting,"New York, NY",08-02-2026,20,0,1,0.2799,0.33,0.1667,0.6667,1.0,8,open,0,synthetic,20,0.6667,0,1,0.2799,0.33,0.1667
5B0C479F,ML Engineer,Director,Catalyst Studio,Logistics,"Atlanta, GA",04-06-2025,269,1,4,0.7255,4.5,54.0,8.9667,0.0185,22,open,1,synthetic,269,8.9667,1,4,0.7255,4.5,54.0
417BFE7B,Product Manager,Lead,Monolith Solutions,Consulting,"San Francisco, CA",12-11-2025,108,1,11,0.8022,4.58,18.3333,3.6,0.0545,18,open,1,synthetic,108,3.6,1,11,0.8022,4.58,18.3333
0F45E4C9,UX Designer,Mid-level,Meridian Group,Logistics,"Denver, CO",04-11-2025,116,0,9,0.9025,2.83,68.0,3.8667,0.0,40,open,1,synthetic,116,3.8667,0,9,0.9025,2.83,68.0
